Date,Open,High,Low,Close,Adj Close,Volume
2019-11-25,11375.000000,11425.000000,11375.000000,11400.000000,11139.255859,8105000
2019-11-26,11375.000000,11425.000000,11375.000000,11375.000000,11114.827148,13063100
2019-11-27,11325.000000,11550.000000,11300.000000,11375.000000,11114.827148,2689000
2019-11-28,11450.000000,11525.000000,11325.000000,11325.000000,11065.970703,2859600
2019-11-29,11325.000000,11500.000000,11300.000000,11325.000000,11065.970703,3762100
2019-12-02,11350.000000,11500.000000,11350.000000,11400.000000,11139.255859,2671100
2019-12-03,11600.000000,11625.000000,11375.000000,11400.000000,11139.255859,2400700
2019-12-04,11400.000000,11425.000000,11100.000000,11100.000000,10846.117188,6445900
2019-12-05,11250.000000,11325.000000,11150.000000,11250.000000,10992.686523,6379900
2019-12-06,11300.000000,11450.000000,11250.000000,11425.000000,11163.683594,2077700
2019-12-09,11425.000000,11425.000000,11325.000000,11375.000000,11114.827148,2446300
2019-12-10,11375.000000,11550.000000,11350.000000,11375.000000,11114.827148,3879900
2019-12-11,11400.000000,11525.000000,11400.000000,11450.000000,11188.112305,2694800
2019-12-12,11525.000000,11525.000000,11350.000000,11375.000000,11114.827148,3944900
2019-12-13,11350.000000,11475.000000,11350.000000,11450.000000,11188.112305,3441700
2019-12-16,11350.000000,11450.000000,11325.000000,11350.000000,11090.399414,4959000
2019-12-17,11325.000000,11500.000000,11300.000000,11500.000000,11236.967773,7056800
2019-12-18,11450.000000,11500.000000,11250.000000,11500.000000,11236.967773,9347100
2019-12-19,11475.000000,11475.000000,11375.000000,11425.000000,11163.683594,3900600
2019-12-20,11400.000000,11525.000000,11275.000000,11525.000000,11261.396484,12072700
2019-12-23,11500.000000,11500.000000,11325.000000,11400.000000,11139.255859,4627300
2019-12-26,11325.000000,11425.000000,11250.000000,11275.000000,11017.114258,2931200
2019-12-27,11275.000000,11275.000000,11100.000000,11175.000000,10919.401367,6856300
2019-12-30,11200.000000,11275.000000,11150.000000,11150.000000,10894.973633,5838000
2020-01-02,11275.000000,11300.000000,11100.000000,11150.000000,10894.973633,1240200
2020-01-03,11150.000000,11275.000000,11050.000000,11250.000000,10992.686523,3044300
2020-01-06,11250.000000,11550.000000,11175.000000,11500.000000,11236.967773,3369400
2020-01-07,11550.000000,11550.000000,11200.000000,11500.000000,11236.967773,4636500
2020-01-08,11300.000000,11550.000000,11300.000000,11550.000000,11285.824219,3602100
2020-01-09,11550.000000,11550.000000,11400.000000,11525.000000,11261.396484,4490400
2020-01-10,11550.000000,11575.000000,11475.000000,11525.000000,11261.396484,4671700
2020-01-13,11600.000000,11600.000000,11525.000000,11550.000000,11285.824219,3006900
2020-01-14,11625.000000,11625.000000,11550.000000,11600.000000,11334.680664,4265000
2020-01-15,11625.000000,11625.000000,11425.000000,11475.000000,11212.540039,4462500
2020-01-16,11475.000000,11600.000000,11425.000000,11600.000000,11334.680664,4698300
2020-01-17,11600.000000,11600.000000,11550.000000,11575.000000,11310.252930,2827400
2020-01-20,11575.000000,11600.000000,11550.000000,11600.000000,11334.680664,3167900
2020-01-21,11625.000000,11800.000000,11600.000000,11700.000000,11432.393555,3918900
2020-01-22,11700.000000,11875.000000,11675.000000,11750.000000,11481.250000,5004000
2020-01-23,11700.000000,11775.000000,11650.000000,11700.000000,11432.393555,1669200
2020-01-24,11675.000000,11700.000000,11600.000000,11700.000000,11432.393555,1701000
2020-01-27,11700.000000,11725.000000,11625.000000,11650.000000,11383.537109,2236100
2020-01-28,11625.000000,11650.000000,11300.000000,11625.000000,11359.109375,3602200
2020-01-29,11650.000000,11800.000000,11650.000000,11700.000000,11432.393555,2873700
2020-01-30,11750.000000,11900.000000,11475.000000,11625.000000,11359.109375,5091400
2020-01-31,11600.000000,11600.000000,11375.000000,11375.000000,11114.827148,6281100
2020-02-03,11375.000000,11425.000000,11300.000000,11400.000000,11139.255859,2396500
2020-02-04,11550.000000,11700.000000,11475.000000,11600.000000,11334.680664,6060300
2020-02-05,11600.000000,11625.000000,11450.000000,11500.000000,11236.967773,2591600
2020-02-06,11475.000000,11650.000000,11475.000000,11500.000000,11236.967773,2299400
2020-02-07,11500.000000,11550.000000,11400.000000,11500.000000,11236.967773,1786400
2020-02-10,11650.000000,11650.000000,11400.000000,11575.000000,11310.252930,2697700
2020-02-11,11575.000000,11575.000000,11400.000000,11475.000000,11212.540039,13191900
2020-02-12,11050.000000,11050.000000,10550.000000,10750.000000,10504.122070,38781300
2020-02-13,10700.000000,10950.000000,10600.000000,10800.000000,10552.978516,6782100
2020-02-14,10825.000000,10850.000000,10750.000000,10775.000000,10528.550781,5096600
2020-02-17,10750.000000,10925.000000,10725.000000,10850.000000,10601.834961,3487400
2020-02-18,10850.000000,10950.000000,10825.000000,10850.000000,10601.834961,5428000
2020-02-19,10950.000000,11000.000000,10800.000000,11000.000000,10748.404297,3665500
2020-02-20,11025.000000,11375.000000,11000.000000,11225.000000,10968.257813,5472600
2020-02-21,11225.000000,11275.000000,10925.000000,10950.000000,10699.547852,4520700
2020-02-24,10750.000000,11125.000000,10750.000000,11025.000000,10772.833008,2871700
2020-02-25,11000.000000,11075.000000,10875.000000,10975.000000,10723.976563,3213600
2020-02-26,10900.000000,10925.000000,10775.000000,10825.000000,10577.407227,4142700
2020-02-27,10750.000000,10825.000000,10350.000000,10550.000000,10308.697266,5781400
2020-02-28,10100.000000,10450.000000,9900.000000,10275.000000,10039.987305,12019600
2020-03-02,10275.000000,10275.000000,9975.000000,10150.000000,9917.845703,6373100
2020-03-03,10650.000000,11125.000000,10475.000000,10950.000000,10699.547852,7187600
2020-03-04,10975.000000,11000.000000,10750.000000,10950.000000,10699.547852,4640300
2020-03-05,11025.000000,11075.000000,10800.000000,10950.000000,10699.547852,6386500
2020-03-06,10750.000000,11000.000000,10750.000000,10950.000000,10699.547852,5805700
2020-03-09,10700.000000,10700.000000,10350.000000,10375.000000,10137.699219,4459700
2020-03-10,10300.000000,11000.000000,10300.000000,10775.000000,10528.550781,4665700
2020-03-11,10775.000000,10950.000000,10450.000000,10950.000000,10699.547852,5798300
2020-03-12,10775.000000,10950.000000,10500.000000,10525.000000,10284.268555,4114900
2020-03-13,10525.000000,11100.000000,9800.000000,10975.000000,10723.976563,9473800
2020-03-16,10825.000000,10925.000000,10325.000000,10400.000000,10162.127930,6384200
2020-03-17,10400.000000,10500.000000,9700.000000,9750.000000,9526.995117,8147300
2020-03-18,9875.000000,9950.000000,9075.000000,9325.000000,9111.715820,6285700
2020-03-19,9100.000000,9100.000000,8675.000000,8850.000000,8647.580078,7344600
2020-03-20,9000.000000,9700.000000,8300.000000,8975.000000,8769.720703,16501400
2020-03-23,8950.000000,8950.000000,8350.000000,8350.000000,8159.016113,4901900
2020-03-24,8300.000000,9050.000000,8125.000000,8300.000000,8110.159668,10642400
2020-03-26,8525.000000,9900.000000,8325.000000,9500.000000,9282.712891,14307800
2020-03-27,9500.000000,10350.000000,9500.000000,9975.000000,9746.848633,6618600
2020-03-30,9950.000000,10100.000000,9300.000000,9650.000000,9429.282227,4572400
2020-03-31,9650.000000,10700.000000,9650.000000,10225.000000,9991.130859,10710300
2020-04-01,10200.000000,10475.000000,9900.000000,10150.000000,9917.845703,4606400
2020-04-02,10100.000000,10300.000000,9800.000000,10200.000000,9966.702148,7811800
2020-04-03,10200.000000,10300.000000,9925.000000,10000.000000,9771.276367,4190800
2020-04-06,10100.000000,10300.000000,9950.000000,10250.000000,10015.558594,5343900
2020-04-07,10350.000000,10600.000000,9875.000000,10075.000000,9844.561523,6342100
2020-04-08,10100.000000,10200.000000,9575.000000,9600.000000,9380.425781,7488000
2020-04-09,9600.000000,10125.000000,9600.000000,10100.000000,9868.989258,5938100
2020-04-13,10100.000000,10300.000000,10050.000000,10200.000000,9966.702148,3225000
2020-04-14,10200.000000,10350.000000,10100.000000,10350.000000,10113.271484,4600800
2020-04-15,10350.000000,10350.000000,9900.000000,10175.000000,9942.274414,3361900
2020-04-16,10175.000000,10175.000000,9900.000000,9900.000000,9673.563477,5543800
2020-04-17,10000.000000,10300.000000,10000.000000,10200.000000,9966.702148,6244900
2020-04-20,10300.000000,10300.000000,10025.000000,10075.000000,9844.561523,5211200
2020-04-21,10075.000000,10200.000000,9975.000000,9975.000000,9746.848633,2472900
2020-04-22,10000.000000,10175.000000,9975.000000,10025.000000,9795.705078,4752000
2020-04-23,10175.000000,10250.000000,10050.000000,10150.000000,9917.845703,5175900
2020-04-24,10200.000000,10200.000000,9900.000000,9900.000000,9673.563477,6779300
2020-04-27,9900.000000,10050.000000,9750.000000,9925.000000,9697.992188,3587100
2020-04-28,9900.000000,10050.000000,9900.000000,10025.000000,9795.705078,3350600
2020-04-29,10050.000000,10100.000000,9900.000000,10000.000000,9771.276367,3956900
2020-04-30,10050.000000,10150.000000,9875.000000,9875.000000,9649.135742,7794500
2020-05-04,9875.000000,9900.000000,9700.000000,9700.000000,9478.138672,5036700
2020-05-05,9850.000000,9850.000000,9700.000000,9750.000000,9526.995117,2481700
2020-05-06,9775.000000,9875.000000,9650.000000,9675.000000,9453.709961,5417100
2020-05-08,9700.000000,9775.000000,9550.000000,9625.000000,9404.853516,7505800
2020-05-11,9725.000000,9825.000000,9700.000000,9750.000000,9526.995117,3409000
2020-05-12,9750.000000,9800.000000,9625.000000,9750.000000,9526.995117,10015800
2020-05-13,9750.000000,9775.000000,9600.000000,9650.000000,9429.282227,3462800
2020-05-14,9675.000000,9975.000000,9600.000000,9725.000000,9502.566406,7272200
2020-05-15,9800.000000,9900.000000,9700.000000,9700.000000,9478.138672,6164400
2020-05-18,9700.000000,9825.000000,9625.000000,9725.000000,9502.566406,3533300
2020-05-19,9800.000000,9950.000000,9800.000000,9900.000000,9673.563477,6299300
2020-05-20,9800.000000,9900.000000,9350.000000,9600.000000,9380.425781,11973600
2020-05-26,9600.000000,9600.000000,8950.000000,8950.000000,8745.292969,10324600
2020-05-27,8700.000000,8700.000000,8325.000000,8325.000000,8134.587891,13319000
2020-05-28,8075.000000,8575.000000,7750.000000,8325.000000,8134.587891,204450600
2020-05-29,8350.000000,8500.000000,8150.000000,8150.000000,7963.590332,61130900
2020-06-02,8250.000000,8550.000000,8250.000000,8475.000000,8281.157227,39990400
2020-06-03,8600.000000,8800.000000,8400.000000,8500.000000,8305.584961,38866800
2020-06-04,8525.000000,8700.000000,8500.000000,8500.000000,8305.584961,28171800
2020-06-05,8525.000000,8625.000000,8400.000000,8625.000000,8427.726563,13685700
2020-06-08,8725.000000,9000.000000,8700.000000,8775.000000,8574.294922,24469300
2020-06-09,8850.000000,8975.000000,8800.000000,8900.000000,8696.436523,21394700
2020-06-10,8800.000000,8900.000000,8625.000000,8650.000000,8452.154297,15356000
2020-06-11,8575.000000,8750.000000,8450.000000,8600.000000,8403.297852,11516100
2020-06-12,8600.000000,8625.000000,8200.000000,8600.000000,8403.297852,15411500
2020-06-15,8600.000000,8800.000000,8575.000000,8700.000000,8501.010742,12064600
2020-06-16,8700.000000,8900.000000,8700.000000,8875.000000,8672.007813,9437600
2020-06-17,8875.000000,9000.000000,8875.000000,8950.000000,8745.292969,7449300
2020-06-18,8900.000000,8975.000000,8750.000000,8750.000000,8549.867188,6346200
2020-06-19,8700.000000,8925.000000,8675.000000,8925.000000,8720.864258,6381100
2020-06-22,8925.000000,9250.000000,8900.000000,9100.000000,8891.861328,15587900
2020-06-23,9150.000000,9150.000000,8925.000000,8925.000000,8720.864258,12104800
2020-06-24,8950.000000,9075.000000,8925.000000,9075.000000,8867.433594,6518200
2020-06-25,9075.000000,9075.000000,8950.000000,8975.000000,8769.720703,5614100
2020-06-26,9075.000000,9250.000000,9000.000000,9225.000000,9014.002930,10454900
2020-06-29,9200.000000,9450.000000,9125.000000,9400.000000,9185.000000,12020200
2020-06-30,9450.000000,9500.000000,9350.000000,9350.000000,9136.143555,13922700
2020-07-01,9350.000000,9400.000000,9200.000000,9200.000000,8989.574219,7022000
2020-07-02,9250.000000,9550.000000,9225.000000,9550.000000,9331.569336,7749600
2020-07-03,9525.000000,9600.000000,9400.000000,9425.000000,9209.428711,3649100
2020-07-06,9425.000000,9525.000000,9400.000000,9425.000000,9209.428711,3042600
2020-07-07,9425.000000,9500.000000,9400.000000,9500.000000,9282.712891,6629600
2020-07-08,9425.000000,9550.000000,9300.000000,9450.000000,9233.856445,9140000
2020-07-09,9500.000000,9525.000000,9350.000000,9350.000000,9136.143555,5609200
2020-07-10,9350.000000,9400.000000,9200.000000,9225.000000,9014.002930,6827600
